"Part";"Value";"Device";"Package";"Description";"AUTOMOTIVE";"CENTROID_NOT_SPECIFIED";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"CURRENT_RATING";"DATASHEET";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_URL";"FOOTPRINT_VARIANT_NAME_0";"HEIGHT";"LEAD_FREE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER_PART_NUMBER";"MPN";"NUMBER_OF_CONTACTS";"NUMBER_OF_ROWS";"PACKAGE";"PITCH";"PREFIX";"ROHS";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VERIFICATION_VERSION";"VOLTAGE_RATING";
"SC5";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC6";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC7";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC8";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC9";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC10";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC11";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC12";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC13";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC14";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC15";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC16";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC17";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC18";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC19";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC20";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC21";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC22";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC23";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC24";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC25";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC26";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC27";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC28";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC29";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC30";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F";"KXOB25-05X3F -";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"TMP36GSZ";"TMP36GSZ";"SOIC127P600X175-8N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
