"Part";"Value";"Device";"Package";"Description";"AUTOMOTIVE";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"CIIVA_IDS";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"COPYRIGHT";"CURRENT_RATING";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGI-KEY_PART_NUMBER";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_URL";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"LEAD_FREE";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFR_NAME";"MOUNTING_TECHNOLOGY";"MOUSER_PART_NUMBER";"MP";"MPN";"NUMBER_OF_CONTACTS";"NUMBER_OF_ROWS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PITCH";"POPULARITY";"PREFIX";"RELEASE_DATE";"ROHS";"SOURCELIBRARY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VAULT_GUID";"VAULT_REVISION";"VENDOR";"VERIFICATION_VERSION";"VOLTAGE_RATING";
"J11";"503763-0591";"503763-0591";"CONN_5037630591_MOL";"";"";"EMA_Cory";"";"";"";"";"";"";"";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"https://www.molex.com/pdm_docs/sd/5037630591_sd.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"503763-0591";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Add_to_database_2020-12-14";"";"";"";"";"Molex Connector Corporation";"";"";
"J12";"503763-0691";"503763-0691";"CONN_503763-0691_MOL";"";"";"EMA_Cory";"";"";"";"";"";"";"";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"https://www.digikey.com/products/en?keywords=503763-0691";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"503763-0691";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Molex_2020-01-22";"";"";"";"";"Molex Connector Corporation";"";"";
"J13";"MOLEX_503763-0291MOLEX_503763-0291_0_0";"MOLEX_503763-0291MOLEX_503763-0291_0_0";"MOLEX_503763-0291_0";"2 Positions Header Connector 0.039" (1.00mm) Surface Mount, Right Angle Gold";"";"";"No";"";"";"";"";"";"";"";"";"";"";"http://www.molex.com/pdm_docs/sd/5037630291_sd.pdf";"";"";"";"";"";"CONN HEADER 1MM R/A 2CKT";"WM10654CT-ND";"";"";"";"";"";"";"";"";"yes";"";"Molex";"";"";"";"";"";"538-503763-0291";"";"503763-0291";"";"";"";"";"HDR02";"";"";"";"";"J";"";"yes";"";"+105°C";"-40°C";"";"";"";"";"";
"J16";"U.FL-R-SMT-1(01)";"U.FL-R-SMT-1(01)";"CONN_-SMT-1(01)";"";"";"EMA_Matt";"";"";"";"";"";"";"";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hirose_12_20_2019";"";"";"";"";"Hirose";"";"";
"JP4";"";"HEADER-1X670MIL";"1X06_ROUND_70";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP5";"MOLEX_503763-0291MOLEX_503763-0291_0_0";"MOLEX_503763-0291MOLEX_503763-0291_0_0";"MOLEX_503763-0291_0";"2 Positions Header Connector 0.039" (1.00mm) Surface Mount, Right Angle Gold";"";"";"No";"";"";"";"";"";"";"";"";"";"";"http://www.molex.com/pdm_docs/sd/5037630291_sd.pdf";"";"";"";"";"";"CONN HEADER 1MM R/A 2CKT";"WM10654CT-ND";"";"";"";"";"";"";"";"";"yes";"";"Molex";"";"";"";"";"";"538-503763-0291";"";"503763-0291";"";"";"";"";"HDR02";"";"";"";"";"J";"";"yes";"";"+105°C";"-40°C";"";"";"";"";"";
"JP6";"503763-0691";"503763-0691";"CONN_503763-0691_MOL";"";"";"EMA_Cory";"";"";"";"";"";"";"";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"https://www.digikey.com/products/en?keywords=503763-0691";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"503763-0691";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Molex_2020-01-22";"";"";"";"";"Molex Connector Corporation";"";"";
"JP7";"503763-0691";"503763-0691";"CONN_503763-0691_MOL";"";"";"EMA_Cory";"";"";"";"";"";"";"";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"https://www.digikey.com/products/en?keywords=503763-0691";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"503763-0691";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Molex_2020-01-22";"";"";"";"";"Molex Connector Corporation";"";"";
"L1";"L";"L";"INDC2012X145N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" Inductor with Inductance: 10uH Tol. +/-20%, Package: 0805 (2012) ";"";"";"";"490-18463-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"Murata Electronics North America";"";"";"";"";"";"";"LQM21DH100M70L";"";"";"";"";"";"2012 Bourns";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"P8";"SSW-123-02-G-D";"SSW-123-02-G-D";"SSW-123-02-G-D";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Samtec Inc.";"";"";"";"";"";"";"";"SSW-123-02-G-D";"";"";"unknown";"11P9690";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"P9";"SSW-123-02-G-D";"SSW-123-02-G-D";"SSW-123-02-G-D";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Samtec Inc.";"";"";"";"";"";"";"";"SSW-123-02-G-D";"";"";"unknown";"11P9690";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"27k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"0";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"0";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"0";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R66";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"TMP36FSZR_8_ADI-L";"TMP36FSZR_8_ADI-L";"R_8_ADI-L";"";"";"";"";"";"";"";"";"";"";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TMP36FSZ";"";"";"";"";"Analog Devices Inc";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"LTC1477CS8LINEAR_TECHNOLOGY_LTC1477CS8_0_2";"LTC1477CS8LINEAR_TECHNOLOGY_LTC1477CS8_0_2";"LINEAR_TECHNOLOGY_LTC1477CS8_2";"LT-LTC1477-S8-8";"";"";"";"1432281";"Manufacturer URL";"http://www.linear.com/";"Package Specification";"http://cds.linear.com/docs/en/packaging/05081610_G_SO8.pdf";"";"";"";"";"";"http://cds.linear.com/docs/en/datasheet/lt1477.pdf";"";"";"";"";"";"";"";"";"Level C";"Level B";"Level A";"";"yes";"vault";"1521843574";"";"";"Linear Technology";"";"";"";"";"Surface Mount";"";"";"LTC1477CS8";"";"";"";"";"S8-8";"8-Pin Plastic Small Outline (Narrow .150 Inch), Body 4.9 x 3.9 mm, Pitch 1.27 mm";"Rev. G, 03/2012";"";"";"U";"1377817843";"No";"";"";"";"635B2D7C-EC07-409E-A57F-666E02CD64AC";"6B8B57C2-2CB3-4970-A31A-1EB58B636423";"";"";"";
"U3";"RFM69HCW_433_900";"RFM69HCW_433_900";"RFM69HCW_433";"Rfm69hcw Wireless Transceiver 91 Check prices";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U6";"ORION_A38LORION_A38L";"ORION_A38LORION_A38L";"ORION_A38L";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U7";"PA1010D";"PA1010D";"PA1010D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"C25582-40G-M36-0A";"C25582-40G-M36-0A";"ADAFRUIT_C25582-40G-M36-0A_0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"SSW-120-02-G-D";"SSW-120-02-G-D";"SSW-120-02-G-D";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Samtec Inc.";"";"";"";"";"";"";"";"SSW-120-02-G-D";"";"";"unknown";"11P9639";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
